freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR_HAB,TOT_HC,AT	3705.34 	3855.27 	3928.93 	4041.59 	4129.77 	4237.37 	4359.69 	4510.08 	4690.47 	4865.28 	5485.57 	5619.83 p
A,EUR_HAB,TOT_HC,BA	: 	: 	337.05 	346.08 	372.37 	402.60 	409.09 	434.88 	: 	: 	: 	: 
A,EUR_HAB,TOT_HC,BE	3529.81 	3651.44 	3723.62 	3814.33 	3990.81 	4096.70 	4224.91 	4372.81 	4497.53 	4462.34 	4789.57 	: 
A,EUR_HAB,TOT_HC,BG	400.96 	436.06 	413.42 	457.59 	471.74 	510.22 	556.20 	586.55 	625.59 	753.65 	884.18 	: 
A,EUR_HAB,TOT_HC,CH	6548.68 	6774.25 	6822.47 	6978.81 	8140.81 	8160.69 	8047.18 	7772.13 	8314.46 	8813.32 	9175.30 b	: 
A,EUR_HAB,TOT_HC,CY	1500.98 	1474.97 	1449.97 	1421.46 	1438.18 	1485.39 	1564.91 	1700.49 	1856.90 	2063.70 	2515.24 	: 
A,EUR_HAB,TOT_HC,CZ	1189.59 	1179.40 	1140.70 	1141.45 	1184.78 	1250.32 	1352.45 	1482.65 	1607.42 	1858.66 	2151.86 	: 
A,EUR_HAB,TOT_HC,DE	3616.62 	3704.79 	3834.33 	3985.74 	4145.65 	4279.41 	4480.82 	4660.36 	4897.05 	5197.59 	5599.48 	5839.81 p
A,EUR_HAB,TOT_HC,DK	4630.93 	4790.53 	4759.80 	4854.70 	4969.01 	5066.91 	5164.02 	5269.24 	5404.57 	5645.77 	6223.01 	6050.30 p
A,EUR_HAB,TOT_HC,EA19	: 	: 	: 	3087.83 	3175.04 	3249.32 	3349.84 	3453.95 	3589.90 	3762.96 p	4077.36 p	: 
A,EUR_HAB,TOT_HC,EA20	: 	: 	: 	3058.12 	3144.95 	3219.19 	3319.39 	3423.39 	3558.65 	3730.26 p	4044.15 p	: 
A,EUR_HAB,TOT_HC,EE	763.63 	825.61 	901.15 	970.27 	1041.66 	1107.80 	1193.55 	1312.58 	1426.42 	1565.67 	1769.74 	1885.47 p
A,EUR_HAB,TOT_HC,EL	1683.11 	1522.08 	1384.25 	1284.05 	1339.78 	1368.10 	1338.15 	1358.49 	1401.97 	1469.31 	1576.75 	: 
A,EUR_HAB,TOT_HC,ES	2086.43 	2018.02 	1984.42 	2018.28 	2117.44 	2145.04 	2231.74 	2314.42 	2416.70 	2536.34 	2733.59 	: 
A,EUR_HAB,TOT_HC,EU27_2020	: 	: 	: 	2658.83 	2737.72 	2806.46 	2902.15 	2994.62 	3116.01 	3271.35 p	3562.06 p	: 
A,EUR_HAB,TOT_HC,FI	3389.10 	3559.49 	3683.49 	3705.37 	3720.86 b	3712.03 	3749.64 	3827.56 	3984.05 	4146.64 	4590.30 p	: 
A,EUR_HAB,TOT_HC,FR	3535.02 	3606.13 	3668.40 b	3740.94 	3781.92 	3840.71 	3897.98 	3944.10 	4011.19 	4147.96 	4542.27 	: 
A,EUR_HAB,TOT_HC,HR	: 	: 	671.11 	686.44 	719.53 	763.03 	805.78 	870.38 	930.62 	962.91 	1195.09 	: 
A,EUR_HAB,TOT_HC,HU	766.40 	748.86 	747.64 	758.94 	785.40 	827.76 	875.20 	915.78 	942.17 	1031.55 	1170.72 	1189.70 p
A,EUR_HAB,TOT_HC,IE	3976.15 	4046.39 	3988.79 	3984.62 	4102.94 	4243.77 	4413.28 	4614.55 	4849.96 	5316.64 	5688.64 	5950.63 p
A,EUR_HAB,TOT_HC,IS	2811.57 	2928.42 	3063.76 	3386.34 	3853.04 	4539.14 	5272.83 	5282.39 	5241.40 	4953.73 	5647.03 	: 
A,EUR_HAB,TOT_HC,IT	: 	2396.32 	2349.61 	2374.06 	2414.15 	2440.53 	2489.35 	2545.28 	2603.82 b	2689.82 	2837.00 	2915.94 p
A,EUR_HAB,TOT_HC,LI	: 	: 	7481.17 	7598.39 	8665.47 	8747.41 	8579.88 	8217.96 	8625.71 	8891.65 	9267.91 	: 
A,EUR_HAB,TOT_HC,LT	670.97 	701.81 	725.74 	772.61 	834.41 	899.98 	966.21 	1060.96 	1223.82 	1333.76 	1568.36 	: 
A,EUR_HAB,TOT_HC,LU	5089.73 	4639.11 b	4730.53 	4869.32 	4829.75 	4897.36 	5009.21 	5221.36 	5502.99 	5900.44 	6402.14 	6527.18 p
A,EUR_HAB,TOT_HC,LV	: 	: 	612.48 	647.40 	702.31 	794.11 	828.80 	936.20 	1060.24 	1154.22 	1612.14 	: 
A,EUR_HAB,TOT_HC,MT	: 	: 	: 	1829.54 	1998.56 	2075.55 	2226.88 	2289.79 	2574.76 	2747.22 p	3064.16 p	: 
A,EUR_HAB,TOT_HC,NL	3986.98 	4107.20 	4159.68 	4207.77 	4205.21 	4281.66 	4355.42 	4500.62 	4753.39 	5119.11 	5510.68 	: 
A,EUR_HAB,TOT_HC,NO	6358.32 	6935.51 	6915.78 	6838.71 	6787.99 	6747.31 	6906.95 	6987.71 	7126.65 	6855.67 	7720.39 	: 
A,EUR_HAB,TOT_HC,PL	: 	: 	661.57 	675.61 	718.15 	731.01 	807.48 	829.54 	906.09 	901.94 p	983.14 p	1191.30 p
A,EUR_HAB,TOT_HC,PT	1623.05 	1545.16 	1533.34 	1554.48 	1616.41 	1696.74 	1770.29 	1878.02 	1982.76 	2053.99 	2308.06 	2441.73 p
A,EUR_HAB,TOT_HC,RO	307.69 	313.18 	373.66 	380.14 	399.83 	431.88 	493.75 	583.91 	661.28 	712.57 	817.47 	: 
A,EUR_HAB,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	781.29 	: 
A,EUR_HAB,TOT_HC,SE	4551.05 	4849.60 	5018.91 	4954.90 	5022.10 	5099.33 	5147.42 	5060.99 	5025.41 	5260.21 	5812.60 	5670.90 p
A,EUR_HAB,TOT_HC,SI	: 	: 	: 	1551.74 	1603.66 	1660.39 	1703.65 	1830.93 	1975.17 	2109.68 	2351.11 	2470.93 p
A,EUR_HAB,TOT_HC,SK	: 	1026.35 	1031.40 	970.05 	998.98 	1043.40 	1051.83 	1099.99 	1198.03 	1219.91 	1427.52 	: 
A,EUR_HAB,TOT_HC,UK	: 	: 	3261.02 	3559.66 	4021.21 	3662.83 	3503.62 	3607.59 	3838.53 	: 	: 	: 
A,MIO_EUR,TOT_HC,AT	31093.91 	32499.92 	33316.59 	34540.89 	35692.35 	37020.51 	38354.63 	39871.46 	41650.95 	43383.05 	49127.65 	50813.65 p
A,MIO_EUR,TOT_HC,BA	: 	: 	1291.99 	1324.85 	1366.83 	1414.26 	1433.85 	1520.41 	1633.05 	1722.85 	1912.42 	: 
A,MIO_EUR,TOT_HC,BE	38962.97 	40556.25 	41553.39 	42755.00 	44993.13 	46421.46 	48058.99 	49968.34 	51672.02 	51489.23 	55492.94 	: 
A,MIO_EUR,TOT_HC,BG	2946.38 	3185.79 	3003.51 	3305.61 	3386.12 	3636.79 	3935.66 	4120.53 	4364.00 	5225.79 	6081.15 	: 
A,MIO_EUR,TOT_HC,CH	51815.78 	54172.73 	55189.36 	57146.99 	67425.41 	68332.19 	68013.48 	66174.47 	71298.85 	76130.96 	79866.78 b	: 
A,MIO_EUR,TOT_HC,CY	1277.15 	1274.30 	1249.79 	1211.80 	1219.10 	1264.90 	1345.07 	1479.54 	1637.70 	1840.84 	2264.62 	: 
